SQLDATE,Actor1CountryCode,Actor1KnownGroupCode,EVENTS
19880422,,,5
20100121,,,39
20100910,AFG,,11
20140214,UKR,,2
20120705,,,70
20110918,,,63
20140330,,,99
20081004,,,22
20010211,,,16
19980714,,,3
20011110,,,11
20110710,,,120
19950824,TMP,,1
20090409,,,131
20061127,,,23
20120724,,,52
20090401,,,84
20100108,,,56
20110112,,,71
20110909,,,130
20071229,,,19
20110226,,,231
20070419,,,43
19980923,,,11
20121216,,,40
20130814,TUR,,1
20071021,,,18
20110221,LBY,,14
20131028,,,121
20051023,,,6
20130819,,,110
20101107,,,110
20070618,,,19
20001016,,,29
20031106,,,5
20120617,,,38
20140624,MYS,,1
20150905,IRQ,,2
20150630,USA,,1
20150628,PSE,,4
20150716,DEU,,1
20071214,,,13
20060119,,,11
20130928,,,68
20120111,,,90
20010821,,,18
20080803,,,32
20061028,,,13
20110512,,,70
20010213,,,16
19941027,,,9
19940615,,,5
20011114,,,4
20090314,,,62
20100421,,,52
20100408,,,60
19851219,,,9
20060704,,,19
20120916,IND,,3
20100409,,,21
20120428,,,61
20091222,,,56
20070716,,,8
20040307,HTI,,3
20130904,IRQ,,2
19820127,,,5
20040723,,,6
19991015,,,16
20080604,,,37
20080330,,,45
20131128,EUR,,4
20131007,,,105
20110316,BHR,,5
20050920,,,8
19951230,,,2
20110223,CUB,,8
20001010,,,28
20110612,,,89
20140723,CAN,,1
20140425,ARM,,2
20140725,CAN,,1
20140811,ISR,,1
20140507,UKR,,2
20070708,,,7
20060114,,,9
20130418,,,32
20111206,,,101
20090101,PSE,,7
20090817,MMR,,2
20020125,,,8
20060406,,,22
20091213,,,67
19851130,,,8
20120917,CUB,,6
20100820,,,25
20080712,,,8
19961201,,,12
20120301,,,127
19991218,CUB,,1
20090316,,,52
20100816,,,55
19951211,,,4
19980312,,,17
19951220,,,3
20090323,,,31
19991005,,,7
19870502,CHL,,1
20080703,,,57
20130305,,,80
19971014,,,7
19891216,,,1
20090320,FRA,,3
20130321,VEN,,1
20050408,,,22
19930514,,,5
20110126,EGY,,37
20110702,VNM,,1
20120629,,,84
19890401,PSE,,1
20040129,,,5
20090305,USA,,2
19860820,,,4
20021116,,,7
20020410,PSE,,7
19921207,SRB,,2
20110709,YEM,,1
20050530,,,20
19851220,,,4
20131104,,,99
19910708,,,9
19931102,,,4
20060718,,,12
20080718,KOR,,2
19831128,,,2
20130127,ISR,,2
20121015,,,65
19861115,,,4
20001121,,,12
19951219,EUR,,2
20081101,,,36
19871110,,,8
19980127,,,11
20090327,,,45
20111129,PAK,,2
19971104,,,8
20100213,,,67
