GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AH7001,AG9001,AG9002,AG9003,AG9004,AG9005,AG9006,AG9007,AG9008,AG9009,AG9010,AG9011,AG9012,AG9013,AG9014,AG9015,AG9016,AG9017,AG9018,AG9019,AG9020,AG9021,AHA001,AHB001,AHB002
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Aggregate population,1 slave,2 slaves,3 slaves,4 slaves,5 slaves,6 slaves,7 slaves,8 slaves,9 slaves,10 to 14 slaves,15 to 19 slaves,20 to 29 slaves,30 to 39 slaves,40 to 49 slaves,50 to 69 slaves,70 to 99 slaves,100 to 199 slaves,200 to 299 slaves,300 to 499 slaves,500 to 999 slaves,1000 slaves and over,Total,Slave,Free
"G205","1860","Kansas Territory","205",,,"Kansas Territory",107204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,107204
"G210","1860","Kentucky","210",,,"Kentucky",930201,9306,5430,4009,3281,2694,2293,1951,1582,1273,3691,1580,1093,296,96,51,12,6,1,0,0,0,38645,225483,930201
"G220","1860","Louisiana","220",,,"Louisianna",376276,4092,2573,2034,1536,1310,1103,858,771,609,2065,1157,1241,695,413,560,469,460,63,20,4,0,22033,331726,376276
"G230","1860","Maine","230",,,"Maine",628279,,,,,,,,,,,,,,,,,,,,,,,,628279
"G240","1860","Maryland","240",,,"Maryland",599860,4119,1952,1279,1023,815,666,523,446,380,1173,545,487,179,81,75,24,15,0,1,0,0,13783,87189,599860
"G250","1860","Massachusetts","250",,,"Massachusetts",1231066,,,,,,,,,,,,,,,,,,,,,,,,1231066
"G260","1860","Michigan","260",,,"Michigan",749113,,,,,,,,,,,,,,,,,,,,,,,,749113
"G270","1860","Minnesota","270",,,"Minnesota",172023,,,,,,,,,,,,,,,,,,,,,,,,172023
"G280","1860","Mississippi","280",,,"Mississippi",354674,4856,3201,2503,2129,1809,1585,1303,1149,1024,3432,2057,2322,1143,755,814,545,279,28,8,1,0,30943,436631,354674
"G290","1860","Missouri","290",,,"Missouri",1067081,6893,3754,2773,2243,1686,1384,1130,877,640,1734,666,349,120,33,26,8,4,0,0,0,0,24320,114931,1067081
